run_number,date,database,string_id,string_label,raw_hits,records_retrieved,notes
1,2026-04-17,Semantic Scholar,String A — Core propulsion modeling,"(""ship"" OR ""vessel"") AND (""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""propulsion model"") AND (""machine learning"" OR ""data-driven"") AND (""sensor data"" OR ""operational data"" OR ""in-service data"" OR ""onboard data"" OR ""noon report"" OR ""voyage data"")",129,105,API key; 2 sub-queries
2,2026-04-17,Semantic Scholar,String B — Feature engineering,"(""ship"" OR ""vessel"") AND (""feature engineering"" OR ""feature selection"" OR ""variable selection"" OR ""input features"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"") AND (""machine learning"" OR ""data-driven"")",45,45,API key; 2 sub-queries
3,2026-04-17,Semantic Scholar,String C — Physics-hybrid,"(""ship"" OR ""vessel"") AND (""physics-informed"" OR ""physics-based"" OR ""semi-empirical"" OR ""resistance model"" OR ""grey-box"" OR ""physics-guided"") AND (""machine learning"" OR ""data-driven"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""vessel performance"" OR ""ship performance"")",41,33,API key; 3 sub-queries
4,2026-04-17,Semantic Scholar,String D — Real-time recalibration,"(""ship"" OR ""vessel"") AND (""model updating"" OR ""online learning"" OR ""adaptive model"" OR ""bias correction"" OR ""real-time calibration"" OR ""concept drift"" OR ""model drift"" OR ""sliding window"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"" OR ""prediction model"")",96,96,API key; 3 sub-queries
5,2026-04-17,OpenAlex,String A — Core propulsion modeling,"(""ship"" OR ""vessel"") AND (""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""propulsion model"") AND (""machine learning"" OR ""data-driven"") AND (""sensor data"" OR ""operational data"" OR ""in-service data"" OR ""onboard data"" OR ""noon report"" OR ""voyage data"")",1483,100,
6,2026-04-17,OpenAlex,String B — Feature engineering,"(""ship"" OR ""vessel"") AND (""feature engineering"" OR ""feature selection"" OR ""variable selection"" OR ""input features"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"") AND (""machine learning"" OR ""data-driven"")",1223,100,
7,2026-04-17,OpenAlex,String C — Physics-hybrid,"(""ship"" OR ""vessel"") AND (""physics-informed"" OR ""physics-based"" OR ""semi-empirical"" OR ""resistance model"" OR ""grey-box"" OR ""physics-guided"") AND (""machine learning"" OR ""data-driven"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""vessel performance"" OR ""ship performance"")",1254,100,
8,2026-04-17,OpenAlex,String D — Real-time recalibration,"(""ship"" OR ""vessel"") AND (""model updating"" OR ""online learning"" OR ""adaptive model"" OR ""bias correction"" OR ""real-time calibration"" OR ""concept drift"" OR ""model drift"" OR ""sliding window"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"" OR ""prediction model"")",4163,100,
9,2026-04-17,arXiv,String A — Core propulsion modeling,"(""ship"" OR ""vessel"") AND (""fuel consumption"" OR ""speed prediction"" OR ""power prediction"" OR ""propulsion model"") AND (""machine learning"" OR ""data-driven"") AND (""sensor data"" OR ""operational data"" OR ""in-service data"" OR ""onboard data"" OR ""noon report"" OR ""voyage data"")",10,6,
10,2026-04-17,arXiv,String B — Feature engineering,"(""ship"" OR ""vessel"") AND (""feature engineering"" OR ""feature selection"" OR ""variable selection"" OR ""input features"") AND (""propulsion"" OR ""fuel consumption"" OR ""speed prediction"" OR ""vessel performance"") AND (""machine learning"" OR ""data-driven"")",0,0,
