arm,dedup_id,decision,rationale,auto_verdict,auto_reason,title,year,venue
update-2026,REC-017,READMIT,"Core task IS vessel main-engine power prediction with knowledge-guided ML; ""weather routing"" only application context",EXCLUDE,E1:weather routing,Scientific Knowledge-Guided Machine Learning for Vessel Power Prediction: A Comparative Study,2026,Open MIND
original,REC-353,READMIT,"Multitask deep learning predicting ship fuel oil consumption; ""voyage optimization"" is motivation only",EXCLUDE,E1:voyage optimization,A Multitask Learning Framework for Predicting Ship Fuel Oil Consumption,2023,IEEE Access
original,REC-228,READMIT,Transfer learning on physics-based models for vessel shaft power prediction,EXCLUDE,E1:weather routing,Application of transfer learning on physics-based models to enhance vessel shaft power predictions,2025,Ocean Engineering
update-2026,REC-106,READMIT,Transfer learning for vessel shaft power prediction (physics+data hybrid); routing mentioned as application only,EXCLUDE,E1:weather routing,Enhancing transfer learning in vessel shaft power prediction: Addressing catastrophic forgetting and feature integration,2026,Applied Ocean Research
original,REC-294,READMIT,"Interpretable data-driven models predicting shaft power, fuel consumption and speed incl. fouling/weather",EXCLUDE,E1:route optimization,"Interpretable, data-driven models for predicting shaft power, fuel consumption, and speed considering the effects of hull fouling and weather conditions",2024,International Journal of Naval Architecture and Ocean Engineering
update-2026,REC-026,KEEP,"SSRN preprint (DOI 10.2139/ssrn.*) — gray literature, E4; re-admission reverted",EXCLUDE,E1:weather routing,A Data-Driven Framework for Modeling and Multi-Objective Optimization of Ship Operational Measures for Improved Carbon Intensity Indicator (CII) Performance,2026,SSRN Electronic Journal
update-2026,REC-041,KEEP,"Target is battery remaining-useful-life, not vessel performance (I1 fail)",EXCLUDE,E5:lithium-ion,Battery remaining useful life estimation process design in hybrid ships: a case of data-driven algorithms,2026,Brodogradnja
update-2026,REC-063,KEEP,"Before/after maintenance assessment, no supervised prediction model (I2/I3 fail)",EXCLUDE,E3:no-ML-method,Reducing Ship Emissions Through Specialized Maintenance: A Case Study Based on Real Data,2026,Journal of Marine Science and Engineering
original,REC-066,READMIT,Comparative ML forecasting of energy consumption for electric-propulsion vessels (equivalent performance parameter),EXCLUDE,E1:route optimization,A Comparative Study on Energy Consumption Forecast Methods for Electric Propulsion Ship,2021,Journal of Marine Science and Engineering
original,REC-155,READMIT,"Neural network predicting ship speed and fuel consumption (simulation-generated training data, as elsewhere in corpus)",EXCLUDE,E1:weather routing,Neural Network Approach for Predicting Ship Speed and Fuel Consumption,2021,Journal of Marine Science and Engineering
update-2026,REC-336,KEEP,"Battery charging strategy optimisation, no performance prediction (I1 fail)",EXCLUDE,E5:state of charge,Battery charging optimization for hybrid cruise ships,2026,Doria (University of Helsinki)
original,REC-059,KEEP,"IoT monitoring prototype, no prediction model or metric (I2/I3 fail)",EXCLUDE,E3:no-ML-method,Development of an IoT-Based Ship Engine Performance Monitoring System to Enhance Operational Efficiency,2025,Formosa Journal of Computer and Information Science
original,REC-133,KEEP,"Techno-economic uncertainty study, no ML (E2)",EXCLUDE,E3:no-ML-method,Effect of uncertainty on techno-economic trade-off studies: ship power and propulsion concepts,2018,Journal of Marine Engineering & Technology
original,REC-584,KEEP,"Thesis (gray literature, E4)",EXCLUDE,E3:no-ML-method,Environmental Adaptive Modeling For Sustainable Cruise Ship Propulsion Plants,2020,Research Repository (Delft University of Technology)
update-2026,REC-049,KEEP,Unsupervised operational-state clustering; no performance prediction target (I1 fail),EXCLUDE,E3:no-ML-method,Data-driven segmentation of ship operational conditions using multivariate time-series clustering,2026,Ships and Offshore Structures
update-2026,REC-177,KEEP,"Hydrodynamic fouling analysis, no data-driven component (E2)",EXCLUDE,E3:no-ML-method,Speed Dependence of Hull Fouling on Ship Performance,2026,Journal of Marine Science and Engineering
update-2026,REC-196,KEEP,"Core is Q-learning speed optimisation, no predictive-accuracy evaluation (I3 fail)",EXCLUDE,E3:no-ML-method,Q-Learning-Based Sailing Speed Optimization for Ocean-Going Liners Under the EU ETS: Considering Shipper Satisfaction,2026,Journal of Marine Science and Engineering
update-2026,REC-216,KEEP,"ECDIS interface study, out of scope (E1)",EXCLUDE,E3:no-ML-method,Optimizing ECDIS as an Information Resource for Ocean Navigation,2026,Information Resources Management Journal
original,REC-108,KEEP,Aircraft propulsion (E5 non-maritime),EXCLUDE,E5:aircraft,Optimization and Experimental Validation of Energy Management and Control for a Distributed Hybrid Electric Propulsion Aircraft,2025,IEEE Journal of Emerging and Selected Topics in Power Electronics
original,REC-226,KEEP,"Ethnographic/analytics discussion, no predictive model with metrics (I3 fail)",EXCLUDE,E3:no-ML-method,From Ethnographic Research to Big Data Analytics—A Case of Maritime Energy-Efficiency Optimization,2020,Applied Sciences
original,REC-272,KEEP,Non-English (Croatian) overview article (E4/E6),EXCLUDE,E3:no-ML-method,Veliki skupovi podataka u pomorskoj industriji,2018,Naše more
update-2026,REC-302,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Traffic Congestion Prediction using Deep Learning Models: A Comparative Study,2026,2026 7th International Conference on Inventive Research in Computing Applications (ICIRCA)
original,REC-123,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Enhancing road crash prediction: A comparative study of Machine Learning algorithms and Safety Performance Functions on the Lagos-Ibadan Expressway,2025,Nigerian Journal of Technology
update-2026,REC-060,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Leveraging Advanced Machine Learning Algorithms for Energy Efficiency and Carbon Footprint Reduction in Diesel Engines,2026,International Journal of Automotive Science And Technology
update-2026,REC-134,KEEP,no inclusion signals on review,EXCLUDE,E1:port scheduling,High-Accuracy ETA Prediction for Long-Distance Tramp Shipping: A Stacked Ensemble Approach,2026,Journal of Marine Science and Engineering
update-2026,REC-266,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,When AI Meets Cache: Intelligent Memory Hierarchy Management in Modern CPUs,2026,Jisuanji shenghuojia.
original,REC-029,KEEP,no inclusion signals on review,EXCLUDE,E1:voyage optimization,Development of a Reinforcement Learning-Based Ship Voyage Planning Optimization Method Applying Machine Learning-Based Berth Dwell-Time Prediction as a Time Constraint,2025,Journal of Marine Science and Engineering
original,REC-109,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Anomaly Detection in Power Generation Plants Using Machine Learning and Neural Networks,2019,Applied Artificial Intelligence
original,REC-124,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Attention-Aware Graph Neural Network Modeling for AIS Reception Area Prediction,2025,Italian National Conference on Sensors
update-2026,REC-095,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Fatigue Life Prediction of Steels in Hydrogen Environments Using Physics-Informed Learning,2026,Applied Sciences
update-2026,REC-120,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Correction of the interior ballistic model for the two-stage light gas gun based on machine learning,2026,Theoretical and Applied Mechanics Letters
update-2026,REC-306,KEEP,no inclusion signals on review,EXCLUDE,E5:medical,Abstract DP130: Individualized Treatment in Distal and Medium Vessel Occlusion Stroke Using a Validated Counterfactual Simulation Model: Beyond One Size Fits All,2026,Stroke
update-2026,REC-313,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Gas Turbine Exhaust Gas Temperature Prediction Under Variable Operating Loads and IGV Positions Using Tree-Based Ensemble Learning,2026,Machines
update-2026,REC-320,KEEP,no inclusion signals on review,EXCLUDE,E1:route optimization,Development and simulation of an innovative autonomous knowledge-based smart waste collection system,2026,Scientific Reports
original,REC-094,KEEP,no inclusion signals on review,EXCLUDE,E1:route optimization,Big Data Analytics and AI for Optimizing Supply Chain Sustainability and Reducing Greenhouse Gas Emissions in Logistics and Transportation,2024,International Journal of Multidisciplinary Research and Growth Evaluation
original,REC-114,KEEP,no inclusion signals on review,EXCLUDE,E5:medical,Machine learning-driven prediction of medical expenses in triple-vessel PCI patients using feature selection,2025,BMC Health Services Research
original,REC-161,KEEP,"Model tests vs CFD comparison, no ML (E2)",EXCLUDE,E3:no-ML-method,A Look at the Full Picture of Speed-Power Predictions from Model Tests and CFD Simulations,2023,"Day 2 Wed, September 13, 2023"
original,REC-344,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A Review of the Data-Driven Prediction Method of Vehicle Fuel Consumption,2023,Energies
original,REC-537,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Ship Intrusion Detection Technology Based on Bayesian Optimization Algorithm and XGBoost,2023,2023 3rd International Conference on Electrical Engineering and Control Science (IC2ECS)
update-2026,REC-021,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A comprehensive framework for data challenges and intelligent resource optimization for offshore wind energy,2026,Sustainable Energy Technologies and Assessments
update-2026,REC-121,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,Quantitative Regime Comparison and Engine Performance Assessment: Regime-Dependent Baselining and Comparison for In-Service Propulsion Evaluation,2026,Journal of Marine Science and Engineering
update-2026,REC-251,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Feature Transformer and LightGBM Ensemble for Ship Trajectory Recognition Using Real AIS Data,2026,Preprints.org
update-2026,REC-301,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Enhancing naval hull stress monitoring with neural network-based data imputation,2026,"Proceedings of the Institution of Mechanical Engineers, Part M: Journal of Engineering for the Maritime Environment"
update-2026,REC-304,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Ship Equipment Order Target Price Prediction: An Interpretable Model Based on Boruta–Lasso and CatBoost-SHAP,2026,Journal of Marine Science and Engineering
original,REC-013,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Forecasting of the tractors fuel consumption with machine learning methods based on remote monitoring data,2025,Zbornik radova
update-2026,REC-061,KEEP,no inclusion signals on review,EXCLUDE,E5:photovoltaic,"Coordinated Scheduling of Carbon Capture, Renewables, and Storage in Bulk Carriers: A Dual-Timescale LSTM-Powered Multi-Objective Energy Management System Strategy",2026,Energies
update-2026,REC-099,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Roadmap: Integrating artificial intelligence in structural health monitoring systems,2026,Measurement Science and Technology
update-2026,REC-129,KEEP,no inclusion signals on review,EXCLUDE,E5:wind farm,Multi-Source Data-Driven CNN–Transformer Hybrid Modeling for Wind Energy Database Reconstruction in the Tropical Indian Ocean,2026,Remote Sensing
update-2026,REC-133,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Towards Cleaner Energy: An Innovative Deep Learning Model for Nitrogen Oxide Emission Prediction in Power Plants,2026,Engineered Science
update-2026,REC-160,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,Roadmap: Integrating Artificial Intelligence in Structural Health Monitoring Systems,2026,Scholar Commons (University of South Carolina)
update-2026,REC-223,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A Comparative Study of Univariate Models for Baltic Dry Index Forecasting,2026,Forecasting
update-2026,REC-248,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Spatio-temporal prediction of vessel traffic flow based on GL-STFormer,2026,Brodogradnja
update-2026,REC-269,KEEP,no inclusion signals on review,EXCLUDE,E1:non-performance-topic,Research on Hybrid Deep Learning Prediction Method for Midship Vertical Bending Moments,2026,Ocean
update-2026,REC-277,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,"A Survey of Six Classical Classifiers, Including Algorithms, Methodological Characteristics, Foundational Variants, and Recent Advances",2026,Algorithms
original,REC-145,KEEP,no inclusion signals on review,EXCLUDE,E1:structural integrity,Adapting Semi-Empirical Ship Vibration Analysis: A Hybrid ML Approach to Generalized Vibration Prediction,2025,International Journal of Maritime Technology
original,REC-312,KEEP,no inclusion signals on review,EXCLUDE,E1:non-maritime,A Novel Deep Learning Method for Intelligent Fault Diagnosis of Rotating Machinery Based on Improved CNN-SVM and Multichannel Data Fusion,2019,Sensors
original,REC-356,KEEP,no inclusion signals on review,EXCLUDE,E3:no-ML-method,A Novel Big Data Collection System for Ship Energy Efficiency Monitoring and Analysis Based on BeiDou System,2021,Journal of Advanced Transportation
