dedup_id,title,authors,year,venue,doi,url,abstract,source_database,string_id,also_found_in,title_screen,title_fail_reason,abstract_length,abstract_screen,abstract_fail_reason
REC-001,Explainable machine learning-based prediction of fuel consumption in ship main engines using operational data,"Anh Tuan Hoang, T. Bui, X. Nguyen, Van Hung Bui, Quang Chien Nguyen, Thanh Hai Truong, Nghia Chung",2025,Brodogradnja,10.21278/brod76405,https://doi.org/10.21278/brod76405,"A significant percentage of fuel consumption and emissions from transportation activities is related to maritime transportation. Hence, accurate prediction models for fuel consumption are quite important. Machine learning offers a data-driven approach to improving fuel consumption prediction, thereby promoting environmental sustainability, lowering operational costs, and enhancing financial viability. This work explores several machine learning approaches by employing statistical measures, including mean squared error (MSE), coefficient of determination (R²), and Kling-Gupta efficiency (KGE), to develop main engine fuel consumption (MEFC) prediction models. Hyperparameter optimization via grid search was conducted to improve the generalizability and robustness of the models. With the lowest test MSE (0.69), a robust testing R² (0.9867), and a high KGE (0.9681), the Random Forests proved to be the most appropriate model for MEFC modeling among all others. Extreme Gradient Boosting followed closely with competitive accuracy, with MSE values of 0.75 and a robust testing R² (0.9856). Using Shapley additive explanations and Local interpretable model-agnostic explanations, this study improves model interpretability even more and indicates that main engine speed and wind speed were revealed to be the most important factors controlling MEFC. Explainable artificial intelligence techniques offer transparency in decision-making, thereby helping marine operators maximize fuel economy. Employing reliable and interpretable predictive modeling, this study offers insightful information for sustainable shipping, hence lowering operating costs and emissions.",Semantic Scholar,A,OpenAlex/A; Scopus/A; Semantic Scholar/A,PASS,,1668,INCLUDE,
REC-002,Data Fusion and Machine Learning for Ship Fuel Consumption Modelling - A Case of Bulk Carrier Vessel,"Abdella Mohamed, Xiangyu Hu, Christian Hendricks",2025,arXiv.org,10.48550/arXiv.2509.11750,https://doi.org/10.48550/arXiv.2509.11750,"There is an increasing push for operational measures to reduce ships'bunker fuel consumption and carbon emissions, driven by the International Maritime Organization (IMO) mandates. Key performance indicators such as the Energy Efficiency Operational Indicator (EEOI) focus on fuel efficiency. Strategies like trim optimization, virtual arrival, and green routing have emerged. The theoretical basis for these approaches lies in accurate prediction of fuel consumption as a function of sailing speed, displacement, trim, climate, and sea state. This study utilized 296 voyage reports from a bulk carrier vessel over one year (November 16, 2021 to November 21, 2022) and 28 parameters, integrating hydrometeorological big data from the Copernicus Marine Environment Monitoring Service (CMEMS) with 19 parameters and the European Centre for Medium-Range Weather Forecasts (ECMWF) with 61 parameters. The objective was to evaluate whether fusing external public data sources enhances modeling accuracy and to highlight the most influential parameters affecting fuel consumption. The results reveal a strong potential for machine learning techniques to predict ship fuel consumption accurately by combining voyage reports with climate and sea data. However, validation on similar classes of vessels remains necessary to confirm generalizability.",Semantic Scholar,A,Semantic Scholar/A; Semantic Scholar/D,PASS,,1340,INCLUDE,
REC-003,Physics-Informed Machine Learning for Vessel Shaft Power and Fuel Consumption Prediction: Interpretable KAN-Based Approach,"Hamza Haruna Mohammed, D. Marijan, Arnbjorn Maressa",2025,BigData Congress [Services Society],10.1109/BigData66926.2025.11400742,https://doi.org/10.1109/BigData66926.2025.11400742,"Accurate prediction of shaft rotational speed, shaft power, and fuel consumption is crucial for enhancing operational efficiency and sustainability in maritime transportation. Conventional physics-based models provide interpretability but struggle with real-world variability, while purely data-driven approaches achieve accuracy at the expense of physical plausibility. This paper introduces a Physics-Informed Kolmogorov-Arnold Network (PI-KAN), a hybrid method that integrates interpretable univariate feature transformations with a physics-informed loss function and a leakage-free chained prediction pipeline. Using operational and environmental data from five cargo vessels, PI-KAN consistently outperforms the traditional polynomial method and neural network baselines. The model achieves the lowest mean absolute error (MAE) and root mean squared error (RMSE), and the highest coefficient of determination ($\mathbf{R}^{\mathbf{2}}$) for shaft power and fuel consumption across all vessels, while maintaining physically consistent behavior. Interpretability analysis reveals rediscovery of domain-consistent dependencies, such as cubic-like speed-power relationships and cosine-like wave and wind effects. These results demonstrate that PI-KAN achieves both predictive accuracy and interpretability, offering a robust tool for vessel performance monitoring and decision support in operational settings.",Semantic Scholar,A,IEEE Xplore/B; IEEE Xplore/C; OpenAlex/C; Semantic Scholar/A; Semantic Scholar/C,PASS,,1410,INCLUDE,
REC-004,A Machine Learning Predictive Model for Ship Fuel Consumption,"Rhuan Fracalossi Melo, N. Figueiredo, Maisa Sales Gama Tobias, Paulo Afonso",2024,Applied Sciences,10.3390/app14177534,https://doi.org/10.3390/app14177534,"Water navigation is crucial for the movement of people and goods in many locations, including the Amazon region. It is essential for the flow of inputs and outputs, and for certain Amazon cities, boat access is the only option. Fuel consumption accounts for over 25% of a vessel’s total operational costs. Shipping companies are therefore seeking procedures and technologies to reduce energy consumption. This research aimed to develop a fuel consumption prediction model for vessels operating in the Amazon region. Machine learning techniques such as Decision Tree, Random Forest, Extra Tree, Gradient Boosting, Extreme Gradient Boosting, and CatBoost can be used for this purpose. The input variables were based on the main design characteristics of the vessels, such as length and draft. Through metrics like mean, median, and coefficient of determination (R2), six different algorithms were assessed. CatBoost was identified as the model with the best performance and suitability for the data. Indeed, it achieved an R2 value higher than 91% in predicting and optimizing fuel consumption for vessels operating in the Amazon and similar regions.",Semantic Scholar,A,OpenAlex/B; Semantic Scholar/A,PASS,,1148,INCLUDE,
REC-005,Fuel Consumption Prediction for a Passenger Ferry using Machine Learning and In-service Data: A Comparative Study,"Pedram Agand, A. Kennedy, T. Harris, Chanwoo Bae, Mo Chen, E. Park",2023,Ocean Engineering,10.1016/j.oceaneng.2023.115271,https://doi.org/10.1016/j.oceaneng.2023.115271,"As the importance of eco-friendly transportation increases, providing an efficient approach for marine vessel operation is essential. Methods for status monitoring with consideration to the weather condition and forecasting with the use of in-service data from ships requires accurate and complete models for predicting the energy efficiency of a ship. The models need to effectively process all the operational data in real-time. This paper presents models that can predict fuel consumption using in-service data collected from a passenger ship. Statistical and domain-knowledge methods were used to select the proper input variables for the models. These methods prevent over-fitting, missing data, and multicollinearity while providing practical applicability. Prediction models that were investigated include multiple linear regression (MLR), decision tree approach (DT), an artificial neural network (ANN), and ensemble methods. The best predictive performance was from a model developed using the XGboost technique which is a boosting ensemble approach. \rvv{Our code is available on GitHub at \url{https://github.com/pagand/model_optimze_vessel/tree/OE} for future research.",Semantic Scholar,A,OpenAlex/A; OpenAlex/B; OpenAlex/C; OpenAlex/D; Scopus/A; Semantic Scholar/A; arXiv/A,PASS,,1181,INCLUDE,
REC-006,Machine Learning Models for Predicting Maritime Vessel Fuel Consumption in Offshore Environments,"Sang Thanh Do, Sirui Zhu, Issam Boukhennoufa, Shengyang Huang, Huaizhi Zhang, Amit Kumar Singh, Xiaojun Zhai, Hugo Spinola, Tom Mehew",2025,International Conference on Enterprise Systems,10.1109/ES64449.2025.11136542,https://doi.org/10.1109/ES64449.2025.11136542,"Fuel expenditure constitutes a substantial proportion of the operational costs of the vessel. Environmental factors, including meteorological conditions and oceanic currents, significantly impact fuel efficiency. Consequently, fuel costs often represent 50–60% of the total cost, which requires maritime companies to pursue methodologies and technologies that mitigate energy consumption. This research focused on developing a robust fuel consumption prediction model for vessels operating under a leading Crew Transfer Vessel (CTV) operator Njord offshore [24], using real-time data from engine sensors. To achieve this, machine learning techniques, including linear regression, random forest [19], gradient boosting, extreme gradient boosting (XGBoost), support vector regression (SVR), and multilayer perceptron (MLP), were used. The input variables encompassed the characteristics of the vessel and the prevailing meteorological conditions at the time of transit. The efficacy of the six algorithms was evaluated using metrics such as mean absolute error (MAE), mean squared error (MSE), root mean squared error (RMSE), and the coefficient of determination (R2). In particular, the gradient boosting algorithm demonstrated outstanding performance and the most suitability for the dataset, achieving a R2 value of approximately 94% in predicting fuel consumption for vessels operating within the specified offshore environment.",Semantic Scholar,A,IEEE Xplore/B; Semantic Scholar/A,PASS,,1430,INCLUDE,
REC-007,An Innovation Machine Learning Approach for Ship Fuel-Consumption Prediction Under Climate-Change Scenarios and IMO Standards,"Bassam M. Aljahdali, Yazeed Alsubhi, A. Alghanmi, Hussain T. Sulaimani, Ahmad E. Samman",2025,Journal of Marine Science and Engineering,10.3390/jmse13040805,https://doi.org/10.3390/jmse13040805,"This study introduces an innovative Emotional Artificial Neural Network (EANN) model to predict ship fuel consumption with high accuracy, addressing the challenges posed by complex environmental conditions and operational variability. This research examines the impact of climate change on maritime operations and fuel efficiency by analyzing climatic variables such as wave period, wind speed, and sea-level rise. The model’s performance is assessed using two ship types (bulk carrier and container ship with max 60,000 dead weight tonnage (DWT)) under various climate scenarios. A comparative analysis demonstrates that the EANN model significantly outperforms the conventional Feedforward Neural Network (FFNN) in predictive accuracy. For bulk carriers, the EANN achieved a Root Mean Squared Error (RMSE) of 5.71 tons/day during testing, compared to 9.91 tons/day for the FFNN model. Similarly, for container ships, the EANN model achieved an RMSE of 5.97 tons/day, significantly better than the FFNN model’s 10.18 tons/day. A sensitivity analysis identified vessel speed as the most critical factor, contributing 33% to the variance in fuel consumption, followed by engine power and current speed. Climate-change simulations showed that fuel consumption increases by an average of 22% for bulk carriers and 19% for container ships, highlighting the importance of operational optimizations. This study emphasizes the efficacy of the EANN model in predicting fuel consumption and optimizing ship performance. The proposed model provides a framework for improving energy efficiency and supporting compliance with International Maritime Organization Standards (IMO) environmental standards. Meanwhile, the Carbon Intensity Indicator (CII) evaluation results emphasize the urgent need for measures to reduce carbon emissions to meet the IMO’s 2030 standards.",Semantic Scholar,A,Semantic Scholar/A; Semantic Scholar/C; Semantic Scholar/D,PASS,manual-reconsider,1857,INCLUDE,
REC-008,From high-frequency sensors to noon reports: Using transfer learning for shaft power prediction in maritime,"Akriti Sharma, Dogan Altan, D. Marijan, Arnbjorn Maressa",2025,International Joint Conference on Computational Intelligence,10.48550/arXiv.2510.03003,https://doi.org/10.48550/arXiv.2510.03003,"With the growth of global maritime transportation, energy optimization has become crucial for reducing costs and ensuring operational efficiency. Shaft power is the mechanical power transmitted from the engine to the shaft and directly impacts fuel consumption, making its accurate prediction a paramount step in optimizing vessel performance. Power consumption is highly correlated with ship parameters such as speed and shaft rotation per minute, as well as weather and sea conditions. Frequent access to this operational data can improve prediction accuracy. However, obtaining high-quality sensor data is often infeasible and costly, making alternative sources such as noon reports a viable option. In this paper, we propose a transfer learning-based approach for predicting vessels shaft power, where a model is initially trained on high-frequency data from a vessel and then fine-tuned with low-frequency daily noon reports from other vessels. We tested our approach on sister vessels (identical dimensions and configurations), a similar vessel (slightly larger with a different engine), and a different vessel (distinct dimensions and configurations). The experiments showed that the mean absolute percentage error decreased by 10.6 percent for sister vessels, 3.6 percent for a similar vessel, and 5.3 percent for a different vessel, compared to the model trained solely on noon report data.",Semantic Scholar,A,Semantic Scholar/A; Semantic Scholar/D; arXiv/A,PASS,manual-reconsider,1399,INCLUDE,
REC-009,Development of a knowledge-based noise test for robustness of vessel fuel consumption prediction models,"Ping Chong Chua, Roland Chieng, Ruihan Wang, Kelvin Lee, Haiyan Xu, Xiuju Fu, Ran Yan",2025,Maritime Policy &amp; Management,10.1080/03088839.2025.2548786,https://doi.org/10.1080/03088839.2025.2548786,"ABSTRACT Machine learning techniques have been applied to vessel fuel consumption prediction with increasing availability of noon reports and sea/weather sensor data. However, such data often contain noise, raising concerns about model robustness. This study proposes a maritime knowledge–based noise addition approach, focusing on identified features of noon reports and sea/weather data. White, multiplicative, and systematic noise were introduced into features and tested on Domain Knowledge–based Artificial Neural Networks (DK-ANN) and Bi-directional Long Short-Term Memory (Bi-LSTM) models. Two key findings emerged: (1) vessel speed is the most sensitive feature to all noise types, exerting the greatest influence on model accuracy; (2) while noise degrades performance in both models, noise on wave period produces greater accuracy changes in Bi-LSTM compared to DK-ANN. This systematic evaluation not only helps identify the most robust models for real-world application but also pinpoints key parameters that significantly affect prediction stability. The proposed approach offers a practical guideline for testing robustness in future maritime prediction models, ensuring more reliable fuel consumption forecasts and supporting improved decision-making in maritime operations.",Semantic Scholar,A,Scopus/A; Semantic Scholar/A,PASS,,1288,INCLUDE,
REC-010,The Development of a Machine Learning-Based Carbon Emission Prediction Method for a Multi-Fuel-Propelled Smart Ship by Using Onboard Measurement Data,"Juhyang Lee, Jeongon Eom, Jumi Park, Jisung Jo, Sewon Kim",2024,Sustainability,10.3390/su16062381,https://doi.org/10.3390/su16062381,"Zero-carbon shipping is the prime goal of the seaborne trade industry at this moment. The utilization of ammonia and liquid hydrogen propulsion in a carbon-free propulsion system is a promising option to achieve net-zero emission in the maritime supply chain. Meanwhile, optimal ship voyage planning is a candidate to reduce carbon emissions immediately without new buildings and retrofits of the alternative fuel-based propulsion system. Due to the voyage options, the precise prediction of fuel consumption and carbon emission via voyage operation profile optimization is a prerequisite for carbon emission reduction. This paper proposes a novel fuel consumption and carbon emission quantity prediction method which is based on the onboard measurement data of a smart ship. The prediction performance of the proposed method was investigated and compared to machine learning and LSTM-model-based fuel consumption and gas emission prediction methods. The results had an accuracy of 81.5% in diesel mode and 91.2% in gas mode. The SHAP (Shapley additive explanations) model, an XAI (Explainable Artificial Intelligence), and a CO2 consumption model were employed to identify the major factors used in the predictions. The accuracy of the fuel consumption calculated using flow meter data, as opposed to power load data, improved by approximately 21.0%. The operational and flow meter data collected by smart ships significantly contribute to predicting the fuel consumption and carbon emissions of vessels.",Semantic Scholar,A,OpenAlex/A; OpenAlex/B; OpenAlex/C; Semantic Scholar/A; Semantic Scholar/C; Semantic Scholar/D,PASS,manual-reconsider,1505,INCLUDE,
REC-011,Development of a Fuel Consumption Prediction Model Based on Machine Learning Using Ship In-Service Data,"Young-Rong Kim, Minsoon Jung, Jun-Bum Park",2021,Journal of Marine Science and Engineering,10.3390/JMSE9020137,https://doi.org/10.3390/JMSE9020137,"As interest in eco-friendly ships increases, methods for status monitoring and forecasting using in-service data from ships are being developed. Models for predicting the energy efficiency of a ship in real time need to effectively process the operational data and be optimized for such an application. This paper presents models that can predict fuel consumption using in-service data collected from a 13,000 TEU class container ship, along with statistical and domain-knowledge methods to select the proper input variables for the models. These methods prevent overfitting and multicollinearity while providing practical applicability. To implement the prediction model, either an artificial neural network (ANN) or multiple linear regression (MLR) were applied, where the ANN-based models showed the best prediction accuracy for both variable selection methods. The goodness of fit of the models based on ANN ranged from 0.9709 to 0.9936. Furthermore, sensitivity analysis of the draught under normal operating conditions indicated an optimal draught of 14.79 m, which was very close to the design draught of the target ship, and provides the optimal fuel consumption efficiency. These models could provide valuable information for ship operators to support decision making to maintain efficient operating conditions.",Semantic Scholar,A,OpenAlex/A; OpenAlex/B; OpenAlex/C; Scopus/A; Scopus/B; Semantic Scholar/A,PASS,,1320,INCLUDE,
